school,sex,address,famsize,Pstatus,Mjob,Fjob,reason,guardian,activities,nursery,higher,internet,romantic,G3,PC1,PC2,PC3,PC4,PC5
0,0,1,0,0,0,4,0,1,0,1,1,0,0,6,-0.748104759,0.447929119,-2.910387104,0.077345827,-1.208168813
0,0,1,0,1,0,2,0,0,0,0,1,1,0,6,1.019415071,-3.204427459,-0.980942599,0.72643441,-0.197897446
0,0,1,1,1,0,2,2,1,0,1,1,1,0,10,2.917714021,-1.959916968,-0.28182766,-0.657574634,-0.342322606
0,0,1,0,1,1,3,1,1,1,1,1,1,1,15,-2.725827477,-0.466011688,0.605558487,-1.29060374,0.558788562
0,0,1,0,1,2,2,1,0,0,1,1,0,0,10,-0.720711374,-0.327639836,-1.458065408,-0.487833769,0.713276888
0,1,1,1,1,3,2,3,1,1,1,1,1,0,15,-2.02430205,1.097838964,0.466202613,1.209199466,0.54035067
0,1,1,1,1,2,2,1,1,0,1,1,1,0,11,-0.765122817,-1.171057295,0.440675398,0.963809434,0.385197905
0,0,1,0,0,2,4,1,1,0,1,1,0,0,6,-1.228771707,0.141235832,-2.810978718,-1.413313398,-1.831062652
0,1,1,1,0,3,2,1,1,0,1,1,1,0,19,-2.77451888,-0.915077554,1.876161611,-0.917463737,0.028948053
0,1,1,0,1,2,2,1,1,1,1,1,1,0,15,-2.856735409,0.315609932,-0.005699176,1.289298933,2.190939318
0,0,1,0,1,4,1,3,1,0,1,1,1,0,9,-1.866669162,1.008073161,-1.641407663,-1.317085089,-0.114280991
0,0,1,0,1,3,2,3,0,1,1,1,1,0,12,-0.594476571,-2.666492494,0.699839729,-0.603353987,1.277505534
0,1,1,1,1,1,3,0,0,1,1,1,1,0,14,-1.785364848,2.039238143,-0.339428209,-0.365475205,1.596564924
0,1,1,0,1,4,2,0,1,0,1,1,1,0,11,-1.257770823,0.586463476,-1.061815621,0.575364814,1.030228288
0,1,1,0,0,2,2,1,2,0,1,1,1,1,16,-1.856889023,-1.259602639,1.616783206,0.967601265,0.898280445
0,0,1,0,1,1,2,1,1,0,1,1,1,0,14,-1.917799623,1.912063976,-0.215981662,0.620485275,-0.189376819
0,0,1,0,1,3,3,3,1,1,1,1,1,0,14,-2.591714745,1.242193482,-0.019187947,-1.36302252,-1.416075019
0,0,1,0,1,2,2,3,1,1,1,1,0,0,10,-0.976448256,-0.895959975,-1.130388948,-0.158132204,1.158872573
